ds,y
2021-07-20,0.92327935
2021-07-21,5.0381513
2021-07-22,2.7593336
2021-07-23,3.0050325
2021-07-24,1.2425485
2021-07-25,4.94421
2021-07-26,4.348511
2021-07-27,3.6778946
2021-07-28,1.1388674
2021-07-29,0.36144873
2021-07-30,1.3633448
2021-07-31,3.4520042
2021-08-01,5.1775656
2021-08-02,5.580103
2021-08-03,4.996201
2021-08-04,9.680787
2021-08-05,5.156668
2021-08-06,1.6118137
2021-08-07,4.25111
2021-08-08,3.8651764
2021-08-09,11.78617
2021-08-10,11.001065
2021-08-11,6.2335167
2021-08-12,3.6356666
2021-08-13,1.1961124
2021-08-14,1.0815091
2021-08-15,1.6935936
2021-08-16,2.4989016
2021-08-17,3.1508713
2021-08-18,2.6044333
2021-08-19,4.1527123
2021-08-20,5.833986
2021-08-21,2.3410976
2021-08-22,5.3144526
2021-08-23,10.2507515
2021-08-24,4.043179
2021-08-25,2.5524771
2021-08-26,3.4035428
2021-08-27,1.2345252
2021-08-28,0.45862317
2021-08-29,3.6754596
2021-08-30,2.0884345
2021-08-31,1.6211987
2021-09-01,2.4720821
2021-09-02,0.5246548
2021-09-03,1.9629971
2021-09-04,2.5535746
2021-09-05,2.7699575
2021-09-06,0.68707687
2021-09-07,0.44671395
2021-09-08,2.403265
2021-09-09,0.78431875
2021-09-10,0.1483063
2021-09-11,1.0831362
2021-09-12,1.5940132
2021-09-13,1.5956922
2021-09-14,1.8624086
2021-09-15,2.244658
2021-09-16,1.3545717
2021-09-17,2.7803802
2021-09-18,0.68080115
2021-09-19,0.046410292
2021-09-20,0.060331542
2021-09-21,0.0051097325
2021-09-22,0.22036631
2021-09-23,1.6002884
2021-09-24,2.8485243
2021-09-25,3.232662
2021-09-26,3.7845223
2021-09-27,3.263605
2021-09-28,2.6185968
2021-09-29,3.1216857
2021-09-30,3.936741
2021-10-01,3.2088182
2021-10-02,2.83931
2021-10-03,0.97151214
2021-10-04,1.3744059
2021-10-05,0.84103304
2021-10-06,3.0779078
2021-10-07,1.5835022
2021-10-08,0.8986811
2021-10-09,1.4903135
2021-10-10,0.7690618
2021-10-11,0.34827423
2021-10-12,0.20163508
2021-10-13,0.28973106
2021-10-14,1.8503147
2021-10-15,2.7208145
2021-10-16,4.118816
2021-10-17,2.2552803
2021-10-18,2.2356255
2021-10-19,0.845006
2021-10-20,0.2931317
2021-10-21,1.6498605
2021-10-22,0.87425905
2021-10-23,2.482845
2021-10-24,1.8550463
2021-10-25,1.0967958
2021-10-26,2.467659
2021-10-27,2.867232
2021-10-28,2.3854816
2021-10-29,3.1406772
2021-10-30,0.06663755
2021-10-31,0.7935421
2021-11-01,0.7721653
2021-11-02,4.358956
2021-11-03,1.1874752
2021-11-04,0.5716501
2021-11-05,0.3046203
2021-11-06,0.19829269
2021-11-07,0.92685646
2021-11-08,1.704112
2021-11-09,2.1726646
2021-11-10,2.543565
2021-11-11,2.5603194
2021-11-12,2.5020828
2021-11-13,1.3787049
2021-11-14,1.4121746
2021-11-15,2.815256
2021-11-16,2.6651793
2021-11-17,0.7727509
2021-11-18,2.2450864
2021-11-19,1.5801558
2021-11-20,3.9117892
2021-11-21,1.148275
2021-11-22,1.3071288
2021-11-23,2.6786156
2021-11-24,1.0232984
2021-11-25,1.2295779
2021-11-26,3.6117842
2021-11-27,1.701809
2021-11-28,2.2309122
2021-11-29,1.9810505
2021-11-30,1.0603093
2021-12-01,0.5201399
2021-12-02,0.2531189
2021-12-03,1.5885711
2021-12-04,4.6135907
2021-12-05,4.5840087
2021-12-06,1.1976893
2021-12-07,0.71209097
2021-12-08,1.3775983
2021-12-09,3.7161932
2021-12-10,3.3722436
2021-12-11,2.1266346
2021-12-12,2.9843655
2021-12-13,3.0098658
2021-12-14,3.038758
2021-12-15,4.055411
2021-12-16,3.7789924
2021-12-17,2.7984211
2021-12-18,2.4263194
2021-12-19,2.9664423
2021-12-20,1.8202277
2021-12-21,2.547486
2021-12-22,1.9204899
2021-12-23,1.6869923
2021-12-24,0.56312066
2021-12-25,2.7525644
2021-12-26,8.087988
2021-12-27,3.229086
2021-12-28,1.66953
2021-12-29,0.57576925
2021-12-30,2.4482133
2021-12-31,0.72673947
2022-01-01,0.99672604
2022-01-02,3.552635
2022-01-03,3.2478254
2022-01-04,1.9068785
2022-01-05,2.5893078
2022-01-06,2.1914566
2022-01-07,2.1447527
2022-01-08,0.54143476
2022-01-09,0.30931678
2022-01-10,3.412428
2022-01-11,2.5093687
2022-01-12,3.5010793
2022-01-13,8.87123
2022-01-14,5.8678207
2022-01-15,18.311474
2022-01-16,6.3307586
2022-01-17,2.1739311
2022-01-18,0.56910545
2022-01-19,0.017570177
2022-01-20,1.7325429
2022-01-21,2.03158
2022-01-22,2.0919209
2022-01-23,1.4316913
2022-01-24,0.6508811
2022-01-25,1.6013697
2022-01-26,3.5108688
2022-01-27,5.7930474
2022-01-28,11.251428
2022-01-29,9.428321
2022-01-30,2.286495
2022-01-31,2.9989214
2022-02-01,1.7886901
2022-02-02,1.1591918
2022-02-03,1.1093768
2022-02-04,1.7277651
2022-02-05,1.3286434
2022-02-06,1.2379531
2022-02-07,0.40388656
2022-02-08,0.23630904
2022-02-09,1.7208897
2022-02-10,0.14152946
2022-02-11,2.1391182
2022-02-12,2.9341955
2022-02-13,2.6043386
2022-02-14,3.8126843
2022-02-15,0.99097615
2022-02-16,2.0111248
2022-02-17,4.113954
2022-02-18,4.6764474
2022-02-19,5.7972775
2022-02-20,3.2988207
2022-02-21,1.2477646
2022-02-22,1.9302732
2022-02-23,2.4986513
2022-02-24,1.786241
2022-02-25,1.5167547
2022-02-26,1.5332419
2022-02-27,4.3852096
2022-02-28,2.821895
2022-03-01,1.5583229
2022-03-02,2.5192046
2022-03-03,3.5220602
2022-03-04,10.821788
2022-03-05,14.747551
2022-03-06,3.3883991
2022-03-07,0.75080997
2022-03-08,1.3617945
2022-03-09,1.8883446
2022-03-10,1.9174038
2022-03-11,1.5534374
2022-03-12,3.4623034
2022-03-13,3.2544086
2022-03-14,4.4174166
2022-03-15,3.476455
2022-03-16,6.866337
2022-03-17,3.344776
2022-03-18,3.1650465
2022-03-19,2.625481
2022-03-20,2.9213965
2022-03-21,11.9859
2022-03-22,21.331533
2022-03-23,10.409923
2022-03-24,6.366173
2022-03-25,2.2982237
2022-03-26,8.040639
2022-03-27,11.06733
2022-03-28,3.1424735
2022-03-29,3.5784485
2022-03-30,3.8887336
2022-03-31,2.3013325
2022-04-01,1.8170575
2022-04-02,1.5881923
2022-04-03,7.746475
2022-04-04,3.5297725
2022-04-05,2.3273675
2022-04-06,2.4791265
2022-04-07,2.1233842
2022-04-08,2.0329216
2022-04-09,4.6310863
2022-04-10,1.5812808
2022-04-11,0.48667976
2022-04-12,0.4783391
2022-04-13,1.5995382
2022-04-14,0.100216396
2022-04-15,0.48430872
2022-04-16,3.668265
2022-04-17,3.6002042
2022-04-18,0.69913155
2022-04-19,3.068512
2022-04-20,8.068696
2022-04-21,2.301894
2022-04-22,1.9128966
2022-04-23,4.1730776
2022-04-24,3.182791
2022-04-25,8.680391
2022-04-26,2.529341
2022-04-27,1.1049858
2022-04-28,4.268718
2022-04-29,3.67121
2022-04-30,1.4507818
2022-05-01,3.6721153
2022-05-02,7.1708465
2022-05-03,3.3504775
2022-05-04,3.6371238
2022-05-05,4.894259
2022-05-06,4.8073297
2022-05-07,5.2932363
2022-05-08,2.6755245
2022-05-09,2.2629194
2022-05-10,1.3374949
2022-05-11,2.6313338
2022-05-12,3.960635
2022-05-13,5.557451
2022-05-14,3.667382
2022-05-15,3.1645358
2022-05-16,1.7056915
2022-05-17,1.4931808
2022-05-18,0.17566638
2022-05-19,0.23387963
2022-05-20,5.436606
2022-05-21,2.6655605
2022-05-22,7.0279617
2022-05-23,8.446044
2022-05-24,11.667844
2022-05-25,14.7534
2022-05-26,9.053493
2022-05-27,12.4836855
2022-05-28,91.20916
2022-05-29,49.865833
2022-05-30,14.132179
2022-05-31,6.393535
2022-06-01,3.6889741
2022-06-02,5.1927686
2022-06-03,10.027848
2022-06-04,15.21603
2022-06-05,2.9180806
2022-06-06,5.59897
2022-06-07,5.798336
2022-06-08,2.4948215
2022-06-09,8.58424
2022-06-10,3.1161563
2022-06-11,10.3451605
2022-06-12,0.59064764
2022-06-13,0.864353
2022-06-14,2.504567
2022-06-15,3.8090737
2022-06-16,9.361167
