ds,mean,max,p90,p95
2020-06-29,1.1031555,2.1423686,1.604509,1.8979638
2020-06-30,2.8398752,3.8465166,3.6403046,3.6946673
2020-07-01,1.4580975,2.2970078,2.0230718,2.0932236
2020-07-02,1.606635,2.0543962,1.8679258,1.9403979
2020-07-03,2.4097297,3.2721808,3.1366482,3.199666
2020-07-04,0.06363621,0.24709404,0.21460876,0.24537891
2020-07-05,16.51365,21.739689,20.125748,20.752377
2020-07-06,6.492094,9.3572235,9.096394,9.27093
2020-07-07,1.5712243,2.1659286,2.0048068,2.0931363
2020-07-08,1.5137109,2.200477,2.04897,2.0854917
2020-07-09,4.0785117,5.234043,4.757064,4.788536
2020-07-10,1.8268071,2.9344783,2.6111178,2.7937484
2020-07-11,3.417331,4.901185,4.373582,4.5874195
2020-07-12,2.066954,3.848384,3.3124416,3.4552383
2020-07-13,0.31679356,1.1264659,0.8264873,0.9458926
2020-07-14,0.48060355,0.83821416,0.7467486,0.7818451
2020-07-15,0.47255337,1.4212418,0.82512605,0.9656243
2020-07-16,2.8727322,4.1332927,3.767798,3.8870952
2020-07-17,15.995042,24.363989,21.033783,21.51635
2020-07-18,4.6449304,6.979629,5.7535067,6.7336154
2020-07-19,3.9593334,5.8670826,5.575393,5.8130045
2020-07-20,4.226936,5.324611,5.1257563,5.146175
2020-07-21,0.35134438,1.0314226,0.7647427,0.85852134
2020-07-22,0.024891147,0.110439956,0.07068664,0.104220025
2020-07-23,0.8889103,1.5025436,1.404865,1.4872549
2020-07-24,0.6859448,0.9401567,0.805125,0.8079551
2020-07-25,2.6863346,3.335431,3.1995273,3.3119104
2020-07-26,4.221671,5.2346106,4.7061553,4.8203588
2020-07-27,0.97209567,1.6567311,1.3000827,1.3419808
2020-07-28,0.6668721,1.3184384,1.1345134,1.2760136
2020-07-29,4.2418094,5.5041494,5.2857175,5.392073
2020-07-30,1.0696388,1.9713819,1.781214,1.8514135
2020-07-31,4.306902,5.8773212,5.321937,5.491473
2020-08-01,4.7401443,7.9524794,6.6143074,7.009827
2020-08-02,1.8660973,4.2486115,2.9588733,3.1885388
2020-08-03,0.37171522,0.8975864,0.76555127,0.79256094
2020-08-04,0.9938145,1.779454,1.6423769,1.7064835
2020-08-05,1.0042132,1.7648115,1.5037246,1.529425
2020-08-06,1.3373798,2.08785,1.8965987,2.0181339
2020-08-07,1.2958428,2.5342145,2.0058513,2.1985128
2020-08-08,2.2363145,3.298033,2.983509,3.0686069
2020-08-09,3.8056643,5.522581,5.1425056,5.240432
2020-08-10,0.6060103,1.222983,1.0130867,1.1555977
2020-08-11,0.64138776,1.3329774,1.1940882,1.3195415
2020-08-12,3.2884572,4.482712,4.390775,4.4756255
2020-08-13,3.1206114,4.804512,4.1002655,4.4692755
